,Release Date,Season,Episode,Episode Title,Name,Sentence
0,2011-04-17,Season 1,Episode 1,Winter is Coming,Waymar Royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces."
1,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
2,2011-04-17,Season 1,Episode 1,Winter is Coming,Waymar Royce,How close did you get?
3,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,Close as any man would.
4,2011-04-17,Season 1,Episode 1,Winter is Coming,Gared,We should head back to the wall.
5,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,Do the dead frighten you?
6,2011-04-17,Season 1,Episode 1,Winter is Coming,Gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.
7,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,You don't think he'll ask us how they died? Get back on your horse.
8,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,Whatever did it to them could do it to us. They even killed the children.
9,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again."
10,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,Your dead men seem to have moved camp.
11,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,They were here.
12,2011-04-17,Season 1,Episode 1,Winter is Coming,Gared,See where they went.
13,2011-04-17,Season 1,Episode 1,Winter is Coming,Royce,What is it?
14,2011-04-17,Season 1,Episode 1,Winter is Coming,Gared,It's …
15,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Go on. Father's watching.
16,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,And your mother.
17,2011-04-17,Season 1,Episode 1,Winter is Coming,Septa Mordane,"Fine work, as always. Well done."
18,2011-04-17,Season 1,Episode 1,Winter is Coming,Sansa Stark,Thank you.
19,2011-04-17,Season 1,Episode 1,Winter is Coming,Septa Mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …
20,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
21,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,"Don't think too much, Bran."
22,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,Relax your bow arm.
23,2011-04-17,Season 1,Episode 1,Winter is Coming,Jonrobb,"Quick, Bran, faster!"
24,2011-04-17,Season 1,Episode 1,Winter is Coming,Cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.
25,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,Get the lads to saddle their horses.
26,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,Do you have to?
27,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"He swore an oath, Cat."
28,2011-04-17,Season 1,Episode 1,Winter is Coming,Cassel,"The law is law, my lady."
29,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"Tell Bran he's coming, too."
30,2011-04-17,Season 1,Episode 1,Winter is Coming,Catelyn Stark,Ned. Ten is too young to see such things.
31,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,He won't be a boy forever. And winter is coming.
32,2011-04-17,Season 1,Episode 1,Winter is Coming,Robb Stark,"Lad, go run back and get the rest."
33,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
34,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry."
35,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"nods yes, and WILL is positioned on the tree limb that serves as a block."
36,2011-04-17,Season 1,Episode 1,Winter is Coming,Will,"Forgive me, lord."
37,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"In the name of Robert of the House Baratheon, first of his name …"
38,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Don't look away.
39,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,King of the Andals and the First Men …
40,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,Father will know if you do.
41,2011-04-17,Season 1,Episode 1,Winter is Coming,Eddard Stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
42,2011-04-17,Season 1,Episode 1,Winter is Coming,Jon Snow,You did well.
